metric,System Accuracy,Spearman,Pearson,Kendall,languages_pair,domain,reference,system_names,human_scores_file,human_scores,metric_scores_file,metric_scores
COMET,0.75,0.58,0.236,0.494,en-de,news,en-de.refB.txt-news,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.4349999999999998, 'bleurt_bestmbr': -1.553666666666667, 'M2M100_1.2B-B4': -3.4640000000000017, 'Online-G': -1.7820000000000016, 'PROMT': -2.414333333333334, 'Online-W': -0.9479999999999997, 'OpenNMT': -1.9773333333333332, 'Lan-Bridge': -2.4250000000000007, 'refA': -0.965, 'Online-A': -1.4, 'refB': -1.380333333333333, 'QUARTZ_TuneReranking': -1.8520000000000005, 'Online-Y': -1.9943333333333335, 'bleu_bestmbr': -1.291, 'comet_bestmbr': -1.4, 'JDExploreAcademy': -1.3596666666666668}",data/wmt22//en-de/domains/news/nlp-telescope-scores/en-de-news/en-de.refB.txt-news/results.csv,"{'Online-B': 0.508508970417855, 'bleurt_bestmbr': 0.4850853540134523, 'M2M100_1.2B-B4': 0.4125788680791724, 'Online-G': 0.4910988233447687, 'PROMT': 0.4724092749302838, 'Online-W': 0.4976305913074405, 'OpenNMT': 0.4793061927332745, 'Lan-Bridge': 0.4296361691010441, 'refA': 0.4466673426636278, 'Online-A': 0.5030957039294367, 'refB': 1.333754383187938, 'QUARTZ_TuneReranking': 0.4760439326483647, 'Online-Y': 0.5049949374428992, 'bleu_bestmbr': 0.5138115133423132, 'comet_bestmbr': 0.4956578444470806, 'JDExploreAcademy': 0.5135699164645414}"
BERTScore,0.658,0.414,0.221,0.31,en-de,news,en-de.refB.txt-news,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.4349999999999998, 'bleurt_bestmbr': -1.553666666666667, 'M2M100_1.2B-B4': -3.4640000000000017, 'Online-G': -1.7820000000000016, 'PROMT': -2.414333333333334, 'Online-W': -0.9479999999999997, 'OpenNMT': -1.9773333333333332, 'Lan-Bridge': -2.4250000000000007, 'refA': -0.965, 'Online-A': -1.4, 'refB': -1.380333333333333, 'QUARTZ_TuneReranking': -1.8520000000000005, 'Online-Y': -1.9943333333333335, 'bleu_bestmbr': -1.291, 'comet_bestmbr': -1.4, 'JDExploreAcademy': -1.3596666666666668}",data/wmt22//en-de/domains/news/nlp-telescope-scores/en-de-news/en-de.refB.txt-news/results.csv,"{'Online-B': 0.8871411305584319, 'bleurt_bestmbr': 0.8735986434783488, 'M2M100_1.2B-B4': 0.8697215183373767, 'Online-G': 0.8805122574948051, 'PROMT': 0.8821460947598496, 'Online-W': 0.8784518927743991, 'OpenNMT': 0.882379558804917, 'Lan-Bridge': 0.8719950478137589, 'refA': 0.8749532163026514, 'Online-A': 0.8835450247542499, 'refB': 0.9999999961507764, 'QUARTZ_TuneReranking': 0.8721855204632604, 'Online-Y': 0.8843620862746192, 'bleu_bestmbr': 0.8870346206741557, 'comet_bestmbr': 0.8758798815499547, 'JDExploreAcademy': 0.888939792512681}"
TER,0.567,0.171,0.155,0.126,en-de,news,en-de.refB.txt-news,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.4349999999999998, 'bleurt_bestmbr': -1.553666666666667, 'M2M100_1.2B-B4': -3.4640000000000017, 'Online-G': -1.7820000000000016, 'PROMT': -2.414333333333334, 'Online-W': -0.9479999999999997, 'OpenNMT': -1.9773333333333332, 'Lan-Bridge': -2.4250000000000007, 'refA': -0.965, 'Online-A': -1.4, 'refB': -1.380333333333333, 'QUARTZ_TuneReranking': -1.8520000000000005, 'Online-Y': -1.9943333333333335, 'bleu_bestmbr': -1.291, 'comet_bestmbr': -1.4, 'JDExploreAcademy': -1.3596666666666668}",data/wmt22//en-de/domains/news/nlp-telescope-scores/en-de-news/en-de.refB.txt-news/results.csv,"{'Online-B': -0.4991541194383353, 'bleurt_bestmbr': -0.5681779732701743, 'M2M100_1.2B-B4': -0.5548976484520386, 'Online-G': -0.5205548976484521, 'PROMT': -0.5155642023346303, 'Online-W': -0.54001015056674, 'OpenNMT': -0.5175097276264592, 'Lan-Bridge': -0.5136186770428015, 'refA': -0.5613263407206902, 'Online-A': -0.5115039756386398, 'refB': -0.0, 'QUARTZ_TuneReranking': -0.5525291828793775, 'Online-Y': -0.5109118592454746, 'bleu_bestmbr': -0.4932329555066824, 'comet_bestmbr': -0.5505836575875487, 'JDExploreAcademy': -0.4961089494163424}"
BLEU,0.558,0.128,0.163,0.109,en-de,news,en-de.refB.txt-news,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.4349999999999998, 'bleurt_bestmbr': -1.553666666666667, 'M2M100_1.2B-B4': -3.4640000000000017, 'Online-G': -1.7820000000000016, 'PROMT': -2.414333333333334, 'Online-W': -0.9479999999999997, 'OpenNMT': -1.9773333333333332, 'Lan-Bridge': -2.4250000000000007, 'refA': -0.965, 'Online-A': -1.4, 'refB': -1.380333333333333, 'QUARTZ_TuneReranking': -1.8520000000000005, 'Online-Y': -1.9943333333333335, 'bleu_bestmbr': -1.291, 'comet_bestmbr': -1.4, 'JDExploreAcademy': -1.3596666666666668}",data/wmt22//en-de/domains/news/nlp-telescope-scores/en-de-news/en-de.refB.txt-news/results.csv,"{'Online-B': 0.3701173667275595, 'bleurt_bestmbr': 0.3116592471997335, 'M2M100_1.2B-B4': 0.3149208402445999, 'Online-G': 0.3499483481301274, 'PROMT': 0.3576156711956491, 'Online-W': 0.3352134662541629, 'OpenNMT': 0.3599644391683804, 'Lan-Bridge': 0.3363985626976769, 'refA': 0.3100588306427841, 'Online-A': 0.3599497942250885, 'refB': 1.0000000000000004, 'QUARTZ_TuneReranking': 0.3157311826936608, 'Online-Y': 0.3620230142691336, 'bleu_bestmbr': 0.3729603804438565, 'comet_bestmbr': 0.3074243911923817, 'JDExploreAcademy': 0.3838805015152502}"
chrF,0.583,0.225,0.18,0.159,en-de,news,en-de.refB.txt-news,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.4349999999999998, 'bleurt_bestmbr': -1.553666666666667, 'M2M100_1.2B-B4': -3.4640000000000017, 'Online-G': -1.7820000000000016, 'PROMT': -2.414333333333334, 'Online-W': -0.9479999999999997, 'OpenNMT': -1.9773333333333332, 'Lan-Bridge': -2.4250000000000007, 'refA': -0.965, 'Online-A': -1.4, 'refB': -1.380333333333333, 'QUARTZ_TuneReranking': -1.8520000000000005, 'Online-Y': -1.9943333333333335, 'bleu_bestmbr': -1.291, 'comet_bestmbr': -1.4, 'JDExploreAcademy': -1.3596666666666668}",data/wmt22//en-de/domains/news/nlp-telescope-scores/en-de-news/en-de.refB.txt-news/results.csv,"{'Online-B': 0.6425431243632204, 'bleurt_bestmbr': 0.610304032108592, 'M2M100_1.2B-B4': 0.6010580634409352, 'Online-G': 0.6308586267416146, 'PROMT': 0.6321549107962251, 'Online-W': 0.6289218198509362, 'OpenNMT': 0.630004825962478, 'Lan-Bridge': 0.6339374064242225, 'refA': 0.6019532553757996, 'Online-A': 0.6405928025385115, 'refB': 1.0, 'QUARTZ_TuneReranking': 0.6099304829362535, 'Online-Y': 0.6348556912134065, 'bleu_bestmbr': 0.6419307031422139, 'comet_bestmbr': 0.6103818327994629, 'JDExploreAcademy': 0.6483017483271186}"
ZeroEdit,0.608,0.286,0.15,0.229,en-de,news,en-de.refB.txt-news,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.4349999999999998, 'bleurt_bestmbr': -1.553666666666667, 'M2M100_1.2B-B4': -3.4640000000000017, 'Online-G': -1.7820000000000016, 'PROMT': -2.414333333333334, 'Online-W': -0.9479999999999997, 'OpenNMT': -1.9773333333333332, 'Lan-Bridge': -2.4250000000000007, 'refA': -0.965, 'Online-A': -1.4, 'refB': -1.380333333333333, 'QUARTZ_TuneReranking': -1.8520000000000005, 'Online-Y': -1.9943333333333335, 'bleu_bestmbr': -1.291, 'comet_bestmbr': -1.4, 'JDExploreAcademy': -1.3596666666666668}",data/wmt22//en-de/domains/news/nlp-telescope-scores/en-de-news/en-de.refB.txt-news/results.csv,"{'Online-B': 0.0136986301369863, 'bleurt_bestmbr': 0.0039138943248532, 'M2M100_1.2B-B4': 0.0039138943248532, 'Online-G': 0.0136986301369863, 'PROMT': 0.0117416829745596, 'Online-W': 0.0117416829745596, 'OpenNMT': 0.0136986301369863, 'Lan-Bridge': 0.0117416829745596, 'refA': 0.0078277886497064, 'Online-A': 0.0078277886497064, 'refB': 1.0, 'QUARTZ_TuneReranking': 0.0078277886497064, 'Online-Y': 0.0117416829745596, 'bleu_bestmbr': 0.0176125244618395, 'comet_bestmbr': 0.0117416829745596, 'JDExploreAcademy': 0.0136986301369863}"
GLEU,0.65,0.384,0.192,0.293,en-de,news,en-de.refB.txt-news,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.4349999999999998, 'bleurt_bestmbr': -1.553666666666667, 'M2M100_1.2B-B4': -3.4640000000000017, 'Online-G': -1.7820000000000016, 'PROMT': -2.414333333333334, 'Online-W': -0.9479999999999997, 'OpenNMT': -1.9773333333333332, 'Lan-Bridge': -2.4250000000000007, 'refA': -0.965, 'Online-A': -1.4, 'refB': -1.380333333333333, 'QUARTZ_TuneReranking': -1.8520000000000005, 'Online-Y': -1.9943333333333335, 'bleu_bestmbr': -1.291, 'comet_bestmbr': -1.4, 'JDExploreAcademy': -1.3596666666666668}",data/wmt22//en-de/domains/news/nlp-telescope-scores/en-de-news/en-de.refB.txt-news/results.csv,"{'Online-B': 0.7185373443557187, 'bleurt_bestmbr': 0.6883017011101394, 'M2M100_1.2B-B4': 0.6840011228507807, 'Online-G': 0.7088371031402144, 'PROMT': 0.7088134154206186, 'Online-W': 0.7044576754450577, 'OpenNMT': 0.70382051526418, 'Lan-Bridge': 0.7031032798655011, 'refA': 0.689087891249137, 'Online-A': 0.7139353018514432, 'refB': 1.0, 'QUARTZ_TuneReranking': 0.6874083908996951, 'Online-Y': 0.7114875435407776, 'bleu_bestmbr': 0.7180300900910135, 'comet_bestmbr': 0.6946868714418551, 'JDExploreAcademy': 0.7210888680181052}"
Average,0.692,0.477,0.191,0.377,en-de,news,en-de.refB.txt-news,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.4349999999999998, 'bleurt_bestmbr': -1.553666666666667, 'M2M100_1.2B-B4': -3.4640000000000017, 'Online-G': -1.7820000000000016, 'PROMT': -2.414333333333334, 'Online-W': -0.9479999999999997, 'OpenNMT': -1.9773333333333332, 'Lan-Bridge': -2.4250000000000007, 'refA': -0.965, 'Online-A': -1.4, 'refB': -1.380333333333333, 'QUARTZ_TuneReranking': -1.8520000000000005, 'Online-Y': -1.9943333333333335, 'bleu_bestmbr': -1.291, 'comet_bestmbr': -1.4, 'JDExploreAcademy': -1.3596666666666668}",data/wmt22//en-de/domains/news/nlp-telescope-scores/en-de-news/en-de.refB.txt-news/universal_metrics/average_ranks_systems.csv,"{'Online-B': 0.5199572408568724, 'bleurt_bestmbr': 0.5058629779293277, 'M2M100_1.2B-B4': 0.4915845651042509, 'Online-G': 0.5136440980909955, 'PROMT': 0.5114921789159738, 'Online-W': 0.5137753255961851, 'OpenNMT': 0.5123834128138108, 'Lan-Bridge': 0.5000615465599378, 'refA': 0.4988392379434851, 'Online-A': 0.5172071987981537, 'refB': 0.9048220541912448, 'QUARTZ_TuneReranking': 0.5030937830243313, 'Online-Y': 0.5171966878515529, 'bleu_bestmbr': 0.5206589696660108, 'comet_bestmbr': 0.5066223088561206, 'JDExploreAcademy': 0.5236554866272893}"
Median,0.558,0.132,0.146,0.126,en-de,news,en-de.refB.txt-news,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.4349999999999998, 'bleurt_bestmbr': -1.553666666666667, 'M2M100_1.2B-B4': -3.4640000000000017, 'Online-G': -1.7820000000000016, 'PROMT': -2.414333333333334, 'Online-W': -0.9479999999999997, 'OpenNMT': -1.9773333333333332, 'Lan-Bridge': -2.4250000000000007, 'refA': -0.965, 'Online-A': -1.4, 'refB': -1.380333333333333, 'QUARTZ_TuneReranking': -1.8520000000000005, 'Online-Y': -1.9943333333333335, 'bleu_bestmbr': -1.291, 'comet_bestmbr': -1.4, 'JDExploreAcademy': -1.3596666666666668}",data/wmt22//en-de/domains/news/nlp-telescope-scores/en-de-news/en-de.refB.txt-news/universal_metrics/median_ranks_systems.csv,"{'Online-B': 0.508508970417855, 'bleurt_bestmbr': 0.5681779732701743, 'M2M100_1.2B-B4': 0.5548976484520386, 'Online-G': 0.5205548976484521, 'PROMT': 0.5155642023346303, 'Online-W': 0.54001015056674, 'OpenNMT': 0.5175097276264592, 'Lan-Bridge': 0.5136186770428015, 'refA': 0.5613263407206902, 'Online-A': 0.5115039756386398, 'refB': 1.0, 'QUARTZ_TuneReranking': 0.5525291828793775, 'Online-Y': 0.5109118592454746, 'bleu_bestmbr': 0.5138115133423132, 'comet_bestmbr': 0.5505836575875487, 'JDExploreAcademy': 0.5135699164645414}"
Social Choice Theory,0.625,0.297,0.366,0.235,en-de,news,en-de.refB.txt-news,"['Online-B', 'bleurt_bestmbr', 'M2M100_1.2B-B4', 'Online-G', 'PROMT', 'Online-W', 'OpenNMT', 'Lan-Bridge', 'refA', 'Online-A', 'refB', 'QUARTZ_TuneReranking', 'Online-Y', 'bleu_bestmbr', 'comet_bestmbr', 'JDExploreAcademy']",data/wmt22//en-de/human-scores/en-de.mqm.domain.score,"{'Online-B': -1.4349999999999998, 'bleurt_bestmbr': -1.553666666666667, 'M2M100_1.2B-B4': -3.4640000000000017, 'Online-G': -1.7820000000000016, 'PROMT': -2.414333333333334, 'Online-W': -0.9479999999999997, 'OpenNMT': -1.9773333333333332, 'Lan-Bridge': -2.4250000000000007, 'refA': -0.965, 'Online-A': -1.4, 'refB': -1.380333333333333, 'QUARTZ_TuneReranking': -1.8520000000000005, 'Online-Y': -1.9943333333333335, 'bleu_bestmbr': -1.291, 'comet_bestmbr': -1.4, 'JDExploreAcademy': -1.3596666666666668}",data/wmt22//en-de/domains/news/nlp-telescope-scores/en-de-news/en-de.refB.txt-news/universal_metrics/social-choice-theory_ranks_systems.csv,"{'Online-B': 97.0, 'bleurt_bestmbr': 33.0, 'M2M100_1.2B-B4': 22.0, 'Online-G': 63.0, 'PROMT': 62.0, 'Online-W': 56.0, 'OpenNMT': 63.0, 'Lan-Bridge': 50.0, 'refA': 30.0, 'Online-A': 79.0, 'refB': 119.0, 'QUARTZ_TuneReranking': 34.0, 'Online-Y': 83.0, 'bleu_bestmbr': 101.0, 'comet_bestmbr': 44.0, 'JDExploreAcademy': 105.0}"
