metric,System Accuracy,Spearman,Pearson,Kendall,languages_pair,domain,reference,system_names,human_scores_file,human_scores,metric_scores_file,metric_scores
COMET,0.658,0.444,0.583,0.317,zh-en,social,zh-en.refA.txt-social,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.8333996023856869, 'JDExploreAcademy': -2.7990059642147114, 'M2M100_1.2B-B4': -5.780119284294233, 'Online-Y': -3.0300198807157055, 'AISP-SJTU': -2.7322067594433403, 'comet_bestmbr': -2.562027833001988, 'refA': -1.0976143141153087, 'Online-W': -3.6039761431411517, 'LanguageX': -2.6308151093439363, 'HuaweiTSC': -2.4576540755467198, 'Online-B': -2.0586481113320088, 'bleu_bestmbr': -2.7711729622266406, 'Online-A': -3.4775347912524848, 'bleurt_bestmbr': -1.9650099403578534, 'Online-G': -2.885288270377734, 'refB': -2.072763419483102}",data/wmt22//zh-en/domains/social/nlp-telescope-scores/zh-en-social/zh-en.refA.txt-social/results.csv,"{'Lan-Bridge': 0.4105991137937955, 'JDExploreAcademy': 0.5069380311163931, 'M2M100_1.2B-B4': 0.22438618033443, 'Online-Y': 0.388669723794827, 'AISP-SJTU': 0.4439622080499754, 'comet_bestmbr': 0.3780132336551268, 'refA': 1.2850774461422003, 'Online-W': 0.2793089466560151, 'LanguageX': 0.4700220873029477, 'HuaweiTSC': 0.4151269505605857, 'Online-B': 0.4147450324688588, 'bleu_bestmbr': 0.4335618739555151, 'Online-A': 0.346346393579369, 'bleurt_bestmbr': 0.4535533507487868, 'Online-G': 0.4445082164262134, 'refB': 0.2880463670248584}"
BERTScore,0.642,0.371,0.595,0.283,zh-en,social,zh-en.refA.txt-social,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.8333996023856869, 'JDExploreAcademy': -2.7990059642147114, 'M2M100_1.2B-B4': -5.780119284294233, 'Online-Y': -3.0300198807157055, 'AISP-SJTU': -2.7322067594433403, 'comet_bestmbr': -2.562027833001988, 'refA': -1.0976143141153087, 'Online-W': -3.6039761431411517, 'LanguageX': -2.6308151093439363, 'HuaweiTSC': -2.4576540755467198, 'Online-B': -2.0586481113320088, 'bleu_bestmbr': -2.7711729622266406, 'Online-A': -3.4775347912524848, 'bleurt_bestmbr': -1.9650099403578534, 'Online-G': -2.885288270377734, 'refB': -2.072763419483102}",data/wmt22//zh-en/domains/social/nlp-telescope-scores/zh-en-social/zh-en.refA.txt-social/results.csv,"{'Lan-Bridge': 0.94311092376235, 'JDExploreAcademy': 0.951331276305864, 'M2M100_1.2B-B4': 0.927907922395892, 'Online-Y': 0.9409294104718308, 'AISP-SJTU': 0.9451460866757464, 'comet_bestmbr': 0.9385332798152036, 'refA': 0.99999999371959, 'Online-W': 0.9320806097794716, 'LanguageX': 0.9473055448257188, 'HuaweiTSC': 0.9433459090902128, 'Online-B': 0.9450832395619948, 'bleu_bestmbr': 0.9451391001344912, 'Online-A': 0.9396999503224792, 'bleurt_bestmbr': 0.9444744060812128, 'Online-G': 0.9449673021289984, 'refB': 0.9316698654034504}"
TER,0.592,0.23,0.479,0.192,zh-en,social,zh-en.refA.txt-social,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.8333996023856869, 'JDExploreAcademy': -2.7990059642147114, 'M2M100_1.2B-B4': -5.780119284294233, 'Online-Y': -3.0300198807157055, 'AISP-SJTU': -2.7322067594433403, 'comet_bestmbr': -2.562027833001988, 'refA': -1.0976143141153087, 'Online-W': -3.6039761431411517, 'LanguageX': -2.6308151093439363, 'HuaweiTSC': -2.4576540755467198, 'Online-B': -2.0586481113320088, 'bleu_bestmbr': -2.7711729622266406, 'Online-A': -3.4775347912524848, 'bleurt_bestmbr': -1.9650099403578534, 'Online-G': -2.885288270377734, 'refB': -2.072763419483102}",data/wmt22//zh-en/domains/social/nlp-telescope-scores/zh-en-social/zh-en.refA.txt-social/results.csv,"{'Lan-Bridge': -0.5237895031882839, 'JDExploreAcademy': -0.4226753556162848, 'M2M100_1.2B-B4': -0.616284773316516, 'Online-Y': -0.5567234251278818, 'AISP-SJTU': -0.495270128232079, 'comet_bestmbr': -0.6223810524840586, 'refA': -0.0, 'Online-W': -0.6119402985074627, 'LanguageX': -0.4723565272230397, 'HuaweiTSC': -0.5237895031882839, 'Online-B': -0.523929647536963, 'bleu_bestmbr': -0.5139093266064046, 'Online-A': -0.5494359189965664, 'bleurt_bestmbr': -0.5558825590358069, 'Online-G': -0.5184640179384766, 'refB': -0.6706607806040222}"
BLEU,0.6,0.241,0.483,0.2,zh-en,social,zh-en.refA.txt-social,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.8333996023856869, 'JDExploreAcademy': -2.7990059642147114, 'M2M100_1.2B-B4': -5.780119284294233, 'Online-Y': -3.0300198807157055, 'AISP-SJTU': -2.7322067594433403, 'comet_bestmbr': -2.562027833001988, 'refA': -1.0976143141153087, 'Online-W': -3.6039761431411517, 'LanguageX': -2.6308151093439363, 'HuaweiTSC': -2.4576540755467198, 'Online-B': -2.0586481113320088, 'bleu_bestmbr': -2.7711729622266406, 'Online-A': -3.4775347912524848, 'bleurt_bestmbr': -1.9650099403578534, 'Online-G': -2.885288270377734, 'refB': -2.072763419483102}",data/wmt22//zh-en/domains/social/nlp-telescope-scores/zh-en-social/zh-en.refA.txt-social/results.csv,"{'Lan-Bridge': 0.3512873499300302, 'JDExploreAcademy': 0.4679339824934737, 'M2M100_1.2B-B4': 0.2619308402951134, 'Online-Y': 0.3283792319636333, 'AISP-SJTU': 0.3821849668144626, 'comet_bestmbr': 0.257868548892077, 'refA': 1.0000000000000004, 'Online-W': 0.2828825096584821, 'LanguageX': 0.4180701674619018, 'HuaweiTSC': 0.3687982173938475, 'Online-B': 0.364440930548531, 'bleu_bestmbr': 0.3659548033912194, 'Online-A': 0.3364977352200482, 'bleurt_bestmbr': 0.3205791433733809, 'Online-G': 0.3621223772428424, 'refB': 0.235319202921286}"
chrF,0.6,0.218,0.508,0.2,zh-en,social,zh-en.refA.txt-social,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.8333996023856869, 'JDExploreAcademy': -2.7990059642147114, 'M2M100_1.2B-B4': -5.780119284294233, 'Online-Y': -3.0300198807157055, 'AISP-SJTU': -2.7322067594433403, 'comet_bestmbr': -2.562027833001988, 'refA': -1.0976143141153087, 'Online-W': -3.6039761431411517, 'LanguageX': -2.6308151093439363, 'HuaweiTSC': -2.4576540755467198, 'Online-B': -2.0586481113320088, 'bleu_bestmbr': -2.7711729622266406, 'Online-A': -3.4775347912524848, 'bleurt_bestmbr': -1.9650099403578534, 'Online-G': -2.885288270377734, 'refB': -2.072763419483102}",data/wmt22//zh-en/domains/social/nlp-telescope-scores/zh-en-social/zh-en.refA.txt-social/results.csv,"{'Lan-Bridge': 0.6214462800847779, 'JDExploreAcademy': 0.6942472123993804, 'M2M100_1.2B-B4': 0.5476996736846284, 'Online-Y': 0.617159496926745, 'AISP-SJTU': 0.6452586625116556, 'comet_bestmbr': 0.5390415293735539, 'refA': 1.0, 'Online-W': 0.5730586935114866, 'LanguageX': 0.6649484209090154, 'HuaweiTSC': 0.6312300298604605, 'Online-B': 0.6332944480543868, 'bleu_bestmbr': 0.6310099051342193, 'Online-A': 0.6151227906727535, 'bleurt_bestmbr': 0.6150282026475772, 'Online-G': 0.6454928036457432, 'refB': 0.5429948648498768}"
ZeroEdit,0.683,0.511,0.438,0.376,zh-en,social,zh-en.refA.txt-social,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.8333996023856869, 'JDExploreAcademy': -2.7990059642147114, 'M2M100_1.2B-B4': -5.780119284294233, 'Online-Y': -3.0300198807157055, 'AISP-SJTU': -2.7322067594433403, 'comet_bestmbr': -2.562027833001988, 'refA': -1.0976143141153087, 'Online-W': -3.6039761431411517, 'LanguageX': -2.6308151093439363, 'HuaweiTSC': -2.4576540755467198, 'Online-B': -2.0586481113320088, 'bleu_bestmbr': -2.7711729622266406, 'Online-A': -3.4775347912524848, 'bleurt_bestmbr': -1.9650099403578534, 'Online-G': -2.885288270377734, 'refB': -2.072763419483102}",data/wmt22//zh-en/domains/social/nlp-telescope-scores/zh-en-social/zh-en.refA.txt-social/results.csv,"{'Lan-Bridge': 0.0159045725646123, 'JDExploreAcademy': 0.0298210735586481, 'M2M100_1.2B-B4': 0.0019880715705765, 'Online-Y': 0.0059642147117296, 'AISP-SJTU': 0.0159045725646123, 'comet_bestmbr': 0.0119284294234592, 'refA': 1.0, 'Online-W': 0.0079522862823061, 'LanguageX': 0.025844930417495, 'HuaweiTSC': 0.003976143141153, 'Online-B': 0.0178926441351888, 'bleu_bestmbr': 0.0178926441351888, 'Online-A': 0.0079522862823061, 'bleurt_bestmbr': 0.0139165009940357, 'Online-G': 0.0139165009940357, 'refB': 0.0139165009940357}"
GLEU,0.583,0.268,0.513,0.167,zh-en,social,zh-en.refA.txt-social,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.8333996023856869, 'JDExploreAcademy': -2.7990059642147114, 'M2M100_1.2B-B4': -5.780119284294233, 'Online-Y': -3.0300198807157055, 'AISP-SJTU': -2.7322067594433403, 'comet_bestmbr': -2.562027833001988, 'refA': -1.0976143141153087, 'Online-W': -3.6039761431411517, 'LanguageX': -2.6308151093439363, 'HuaweiTSC': -2.4576540755467198, 'Online-B': -2.0586481113320088, 'bleu_bestmbr': -2.7711729622266406, 'Online-A': -3.4775347912524848, 'bleurt_bestmbr': -1.9650099403578534, 'Online-G': -2.885288270377734, 'refB': -2.072763419483102}",data/wmt22//zh-en/domains/social/nlp-telescope-scores/zh-en-social/zh-en.refA.txt-social/results.csv,"{'Lan-Bridge': 0.6774679556163852, 'JDExploreAcademy': 0.7300339553220542, 'M2M100_1.2B-B4': 0.6252173734749094, 'Online-Y': 0.670327645734611, 'AISP-SJTU': 0.7002459621112449, 'comet_bestmbr': 0.637462522278851, 'refA': 1.0, 'Online-W': 0.653262521507466, 'LanguageX': 0.7120937590865274, 'HuaweiTSC': 0.6895428899596749, 'Online-B': 0.6860128808252848, 'bleu_bestmbr': 0.6941763436635027, 'Online-A': 0.6718542062836305, 'bleurt_bestmbr': 0.6804510983886102, 'Online-G': 0.6964116277985729, 'refB': 0.6240455764955292}"
Average,0.625,0.341,0.518,0.25,zh-en,social,zh-en.refA.txt-social,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.8333996023856869, 'JDExploreAcademy': -2.7990059642147114, 'M2M100_1.2B-B4': -5.780119284294233, 'Online-Y': -3.0300198807157055, 'AISP-SJTU': -2.7322067594433403, 'comet_bestmbr': -2.562027833001988, 'refA': -1.0976143141153087, 'Online-W': -3.6039761431411517, 'LanguageX': -2.6308151093439363, 'HuaweiTSC': -2.4576540755467198, 'Online-B': -2.0586481113320088, 'bleu_bestmbr': -2.7711729622266406, 'Online-A': -3.4775347912524848, 'bleurt_bestmbr': -1.9650099403578534, 'Online-G': -2.885288270377734, 'refB': -2.072763419483102}",data/wmt22//zh-en/domains/social/nlp-telescope-scores/zh-en-social/zh-en.refA.txt-social/universal_metrics/average_ranks_systems.csv,"{'Lan-Bridge': 0.5062293855628908, 'JDExploreAcademy': 0.5432829838302997, 'M2M100_1.2B-B4': 0.457916405010295, 'Online-Y': 0.501164735533037, 'AISP-SJTU': 0.518281798137111, 'comet_bestmbr': 0.4836040851317614, 'refA': 0.8978682056945415, 'Online-W': 0.4772122665575272, 'LanguageX': 0.5300916338895209, 'HuaweiTSC': 0.5108299490277455, 'Online-B': 0.5121998318758869, 'bleu_bestmbr': 0.5145205710029345, 'Online-A': 0.4952727544795933, 'bleurt_bestmbr': 0.5119836087527729, 'Online-G': 0.517983263739269, 'refB': 0.472379022613294}"
Median,0.492,-0.018,0.363,-0.008,zh-en,social,zh-en.refA.txt-social,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.8333996023856869, 'JDExploreAcademy': -2.7990059642147114, 'M2M100_1.2B-B4': -5.780119284294233, 'Online-Y': -3.0300198807157055, 'AISP-SJTU': -2.7322067594433403, 'comet_bestmbr': -2.562027833001988, 'refA': -1.0976143141153087, 'Online-W': -3.6039761431411517, 'LanguageX': -2.6308151093439363, 'HuaweiTSC': -2.4576540755467198, 'Online-B': -2.0586481113320088, 'bleu_bestmbr': -2.7711729622266406, 'Online-A': -3.4775347912524848, 'bleurt_bestmbr': -1.9650099403578534, 'Online-G': -2.885288270377734, 'refB': -2.072763419483102}",data/wmt22//zh-en/domains/social/nlp-telescope-scores/zh-en-social/zh-en.refA.txt-social/universal_metrics/median_ranks_systems.csv,"{'Lan-Bridge': 0.5237895031882839, 'JDExploreAcademy': 0.5069380311163931, 'M2M100_1.2B-B4': 0.5476996736846284, 'Online-Y': 0.5567234251278818, 'AISP-SJTU': 0.495270128232079, 'comet_bestmbr': 0.5390415293735539, 'refA': 1.0, 'Online-W': 0.5730586935114866, 'LanguageX': 0.4723565272230397, 'HuaweiTSC': 0.5237895031882839, 'Online-B': 0.523929647536963, 'bleu_bestmbr': 0.5139093266064046, 'Online-A': 0.5494359189965664, 'bleurt_bestmbr': 0.5558825590358069, 'Online-G': 0.5184640179384766, 'refB': 0.5429948648498768}"
Social Choice Theory,0.608,0.309,0.497,0.217,zh-en,social,zh-en.refA.txt-social,"['Lan-Bridge', 'JDExploreAcademy', 'M2M100_1.2B-B4', 'Online-Y', 'AISP-SJTU', 'comet_bestmbr', 'refA', 'Online-W', 'LanguageX', 'HuaweiTSC', 'Online-B', 'bleu_bestmbr', 'Online-A', 'bleurt_bestmbr', 'Online-G', 'refB']",data/wmt22//zh-en/human-scores/zh-en.mqm.domain.score,"{'Lan-Bridge': -1.8333996023856869, 'JDExploreAcademy': -2.7990059642147114, 'M2M100_1.2B-B4': -5.780119284294233, 'Online-Y': -3.0300198807157055, 'AISP-SJTU': -2.7322067594433403, 'comet_bestmbr': -2.562027833001988, 'refA': -1.0976143141153087, 'Online-W': -3.6039761431411517, 'LanguageX': -2.6308151093439363, 'HuaweiTSC': -2.4576540755467198, 'Online-B': -2.0586481113320088, 'bleu_bestmbr': -2.7711729622266406, 'Online-A': -3.4775347912524848, 'bleurt_bestmbr': -1.9650099403578534, 'Online-G': -2.885288270377734, 'refB': -2.072763419483102}",data/wmt22//zh-en/domains/social/nlp-telescope-scores/zh-en-social/zh-en.refA.txt-social/universal_metrics/social-choice-theory_ranks_systems.csv,"{'Lan-Bridge': 83.0, 'JDExploreAcademy': 133.0, 'M2M100_1.2B-B4': 28.0, 'Online-Y': 66.0, 'AISP-SJTU': 115.0, 'comet_bestmbr': 40.0, 'refA': 140.0, 'Online-W': 41.0, 'LanguageX': 126.0, 'HuaweiTSC': 90.0, 'Online-B': 96.0, 'bleu_bestmbr': 104.0, 'Online-A': 67.0, 'bleurt_bestmbr': 81.0, 'Online-G': 106.0, 'refB': 30.0}"
